车辆ID,发车时间,发车位置,方向,期望速度,车辆类型名称,路径
9815,0.9599999,892.6105_0.730626_1175.439,Left,33.216,0_3,51_61
9816,1.92,758.6046_0.9621004_1024.012,Right,18.57654,2_0,66_51
9817,3.04,758.1254_0.9621004_1026.974,Right,17.89169,2_0,66_51
9818,4.8,945.5281_0.9621004_909.3644,Left,19.34802,2_0,65_51
9819,7.199997,1130.014_0.9621004_1082.596,Left,27.4555,2_0,61_65
9820,7.519997,759.0837_0.730626_1021.051,Right,15.29565,0_3,66_61
9821,7.679997,933.6493_0.688456_907.6638,Left,14.41825,0_4,65_66
9822,7.679997,892.6105_0.9621004_1175.439,Left,14.11829,2_0,51_61
9823,7.999997,760.042_0.688456_1015.128,Right,12.91142,0_4,66_61
9824,8.959996,759.5629_0.9621004_1018.089,Right,26.19152,2_0,66_61
9825,10.08,883.7171_0.8651666_1174.058,Left,18.53891,0_0,51_65
9826,10.55999,889.6461_0.8429536_1174.979,Left,11.34741,0_1,51_65
9827,10.71999,892.6105_0.9621004_1175.439,Left,9.039601,2_0,51_61
9828,11.19999,758.1254_0.9621004_1026.974,Right,18.6354,2_0,66_51
9829,11.51999,759.5629_0.688456_1018.089,Right,11.96411,0_4,66_61
9830,12.79999,760.5212_0.8651666_1012.166,Right,14.98018,0_0,66_65
9831,13.11999,1130.014_0.730626_1082.596,Left,13.18966,0_3,61_65
9832,14.87999,948.4979_0.688456_909.7896,Left,26.53872,0_4,65_61
9833,16.31999,1127.173_0.8651666_1100.371,Left,21.39818,0_0,61_51
9834,17.27999,1128.12_1.710887_1094.446,Left,9.64402,1_1,61_66
9835,19.35999,892.6105_0.730626_1175.439,Left,24.5144,0_3,51_61
9836,19.67999,1130.014_0.8429536_1082.596,Left,28.00926,0_1,61_65
9837,20.79999,939.5887_0.9621004_908.5142,Left,17.74286,2_0,65_51
9838,21.75998,757.6463_0.8651666_1029.935,Right,26.31335,0_0,66_51
9839,22.55998,877.7881_0.688456_1173.138,Left,12.19162,0_4,51_66
9840,23.83998,892.6105_1.710887_1175.439,Left,26.72329,1_1,51_61
9841,24.63998,1129.067_0.9621004_1088.521,Left,8.185057,2_0,61_66
9842,24.63998,1127.173_0.8433979_1100.371,Left,12.79877,0_2,61_51
9843,25.43998,889.6461_0.8651666_1174.979,Left,12.26746,0_0,51_65
9844,26.71998,758.6046_0.8651666_1024.012,Right,26.75554,0_0,66_51
9845,27.51998,757.6463_0.688456_1029.935,Right,26.1814,0_4,66_51
9846,29.11998,760.042_0.9621004_1015.128,Right,26.0897,2_0,66_61
9847,31.03998,933.6493_0.688456_907.6638,Left,14.10871,0_4,65_66
9848,31.19998,877.7881_0.8433979_1173.138,Left,31.03112,0_2,51_66
9849,31.67998,759.0837_0.8429536_1021.051,Right,20.04792,0_1,66_61
9850,34.23997,1129.067_1.362484_1088.521,Left,23.44083,1_2,61_66
9851,35.03997,889.6461_0.8429536_1174.979,Left,26.91536,0_1,51_65
9852,35.19997,892.6105_0.8433979_1175.439,Left,11.6849,0_2,51_61
9853,36.31997,760.042_0.9621004_1015.128,Right,7.313473,2_0,66_61
9854,36.31997,760.5212_0.688456_1012.166,Right,11.01764,0_4,66_65
9855,39.51997,892.6105_0.730626_1175.439,Left,14.56176,0_3,51_61
9856,40.31997,933.6493_0.8651666_907.6638,Left,14.44952,0_0,65_66
9857,40.95997,939.5887_0.9621004_908.5142,Left,6.47903,2_0,65_51
9858,42.39997,1130.014_0.8433979_1082.596,Left,14.37023,0_2,61_65
9859,43.35997,936.619_0.8433979_908.089,Left,21.84828,0_2,65_51
9860,43.67997,886.6816_0.8429536_1174.519,Left,32.57499,0_1,51_65
9861,43.83997,933.6493_0.9621004_907.6638,Left,7.702768,2_0,65_66
9862,44.79996,1127.173_0.688456_1100.371,Left,27.69743,0_4,61_51
9863,45.27996,892.6105_0.8429536_1175.439,Left,30.62774,0_1,51_61
9864,46.07996,877.7881_0.730626_1173.138,Left,32.32054,0_3,51_66
9865,46.23996,948.4979_0.688456_909.7896,Left,10.48811,0_4,65_61
9866,46.87996,757.6463_0.8651666_1029.935,Right,28.25484,0_0,66_51
9867,47.51996,758.6046_0.688456_1024.012,Right,19.12799,0_4,66_51
9868,48.79996,883.7171_0.8429536_1174.058,Left,24.31656,0_1,51_65
9869,50.87996,948.4979_0.730626_909.7896,Left,32.8469,0_3,65_61
9870,51.19996,877.7881_0.730626_1173.138,Left,17.81027,0_3,51_66
9871,52.79996,760.042_0.8433979_1015.128,Right,29.63619,0_2,66_61
9872,54.87996,936.619_0.8651666_908.089,Left,32.02766,0_0,65_51
9873,55.19995,1129.54_0.8433979_1085.559,Left,5.717626,0_2,61_65
9874,55.51995,1127.173_0.8433979_1100.371,Left,21.10095,0_2,61_51
9875,56.15995,758.1254_0.9621004_1026.974,Right,17.4374,2_0,66_51
9876,56.63995,1129.067_0.8433979_1088.521,Left,20.10566,0_2,61_66
9877,56.95995,758.6046_0.8429536_1024.012,Right,23.90661,0_1,66_51
9878,57.27995,945.5281_0.730626_909.3644,Left,32.36293,0_3,65_51
9879,58.87995,942.5584_0.730626_908.9393,Left,28.61316,0_3,65_51
9880,59.35995,892.6105_0.9621004_1175.439,Left,19.93222,2_0,51_61
9881,59.99995,759.5629_0.688456_1018.089,Right,24.66483,0_4,66_61
9882,60.47995,942.5584_0.8651666_908.9393,Left,16.96875,0_0,65_51
9883,60.63995,1128.12_0.688456_1094.446,Left,27.99529,0_4,61_66
9884,61.91995,877.7881_0.8433979_1173.138,Left,18.37309,0_2,51_66
9885,62.71995,1127.173_0.730626_1100.371,Left,8.427538,0_3,61_51
9886,62.87995,759.0837_0.8651666_1021.051,Right,27.88391,0_0,66_61
9887,63.03995,883.7171_0.8429536_1174.058,Left,23.50394,0_1,51_65
9888,63.99995,948.4979_0.8429536_909.7896,Left,11.90364,0_1,65_61
9889,64.63996,936.619_0.8433979_908.089,Left,20.61333,0_2,65_51
9890,64.79996,933.6493_0.8429536_907.6638,Left,15.66476,0_1,65_66
9891,66.24,758.1254_0.730626_1026.974,Right,31.50806,0_3,66_51
9892,66.4,1128.593_0.9621004_1091.483,Left,11.40982,2_0,61_66
9893,67.36002,933.6493_0.688456_907.6638,Left,13.40159,0_4,65_66
9894,67.68003,880.7526_0.8651666_1173.598,Left,16.64937,0_0,51_65
9895,67.84003,936.619_0.9621004_908.089,Left,26.97358,2_0,65_51
9896,68.64005,948.4979_0.8433979_909.7896,Left,31.19681,0_2,65_61
9897,68.80006,1129.54_0.688456_1085.559,Left,17.22549,0_4,61_65
9898,69.44007,886.6816_0.8429536_1174.519,Left,24.41743,0_1,51_65
9899,70.08009,1127.173_0.8429536_1100.371,Left,19.55971,0_1,61_51
9900,70.40009,892.6105_0.8429536_1175.439,Left,6.270699,0_1,51_61
9901,72.48014,1128.593_0.8429536_1091.483,Left,20.52985,0_1,61_66
9902,73.28016,1129.54_0.730626_1085.559,Left,16.43502,0_3,61_65
9903,74.24018,886.6816_0.8429536_1174.519,Left,28.77732,0_1,51_65
9904,74.40018,877.7881_0.688456_1173.138,Left,11.28548,0_4,51_66
9905,74.72019,945.5281_0.688456_909.3644,Left,20.87856,0_4,65_51
9906,78.24027,758.6046_0.8433979_1024.012,Right,28.75018,0_2,66_51
9907,78.72028,877.7881_0.730626_1173.138,Left,11.49991,0_3,51_66
9908,78.88029,760.5212_0.8651666_1012.166,Right,21.68744,0_0,66_65
9909,80.32032,933.6493_1.362484_907.6638,Left,22.73759,1_2,65_66
9910,80.80033,760.5212_0.8433979_1012.166,Right,29.26999,0_2,66_65
9911,81.76035,948.4979_0.688456_909.7896,Left,12.07155,0_4,65_61
9912,81.76035,892.6105_0.688456_1175.439,Left,13.20156,0_4,51_61
9913,82.88038,1127.173_0.730626_1100.371,Left,19.54901,0_3,61_51
9914,82.88038,760.5212_0.8651666_1012.166,Right,5.840751,0_0,66_65
9915,83.20039,936.619_0.8429536_908.089,Left,17.00971,0_1,65_51
9916,83.6804,1130.014_0.688456_1082.596,Left,31.06766,0_4,61_65
9917,84.48042,877.7881_0.8433979_1173.138,Left,21.43884,0_2,51_66
9918,84.48042,886.6816_1.710887_1174.519,Left,21.24778,1_1,51_65
9919,84.80042,948.4979_0.8651666_909.7896,Left,7.085669,0_0,65_61
9920,85.44044,936.619_0.8429536_908.089,Left,17.1581,0_1,65_51
9921,85.60044,1127.646_0.8429536_1097.408,Left,14.9346,0_1,61_66
9922,85.92045,759.5629_0.9621004_1018.089,Right,23.94871,2_0,66_61
9923,86.40046,892.6105_0.8651666_1175.439,Left,5.891163,0_0,51_61
9924,87.20048,880.7526_0.688456_1173.598,Left,8.217896,0_4,51_65
9925,87.36048,939.5887_0.8429536_908.5142,Left,33.26656,0_1,65_51
9926,88.48051,1128.593_0.9621004_1091.483,Left,21.39493,2_0,61_66
9927,88.48051,933.6493_0.9621004_907.6638,Left,15.05455,2_0,65_66
9928,88.80051,877.7881_0.9621004_1173.138,Left,26.98978,2_0,51_66
9929,89.44053,1127.173_0.8429536_1100.371,Left,9.945629,0_1,61_51
9930,90.40055,948.4979_0.8651666_909.7896,Left,31.93115,0_0,65_61
9931,90.88056,933.6493_0.8433979_907.6638,Left,15.97106,0_2,65_66
9932,91.36057,759.0837_0.9621004_1021.051,Right,21.40938,2_0,66_61
9933,92.80061,948.4979_0.8651666_909.7896,Left,25.76006,0_0,65_61
9934,92.96061,1129.067_0.688456_1088.521,Left,13.45498,0_4,61_66
9935,94.24064,1129.54_0.9621004_1085.559,Left,27.64327,2_0,61_65
9936,94.40064,933.6493_0.688456_907.6638,Left,29.62051,0_4,65_66
9937,94.72065,1128.593_0.9621004_1091.483,Left,19.93523,2_0,61_66
9938,95.68067,760.5212_0.9621004_1012.166,Right,17.54318,2_0,66_65
9939,95.84068,759.5629_0.730626_1018.089,Right,11.83965,0_3,66_61
9940,96.16068,1127.646_0.688456_1097.408,Left,29.80497,0_4,61_66
9941,96.8007,933.6493_0.9621004_907.6638,Left,21.49706,2_0,65_66
9942,97.28071,758.1254_1.362484_1026.974,Right,23.89466,,66_51
9943,97.44071,945.5281_0.688456_909.3644,Left,18.34306,0_4,65_51
9944,98.24073,892.6105_1.362484_1175.439,Left,19.05015,1_2,51_61
9945,99.04075,948.4979_0.8429536_909.7896,Left,24.23347,0_1,65_61
9946,99.36076,933.6493_0.8651666_907.6638,Left,6.557545,0_0,65_66
9947,99.84077,877.7881_0.8651666_1173.138,Left,31.7902,0_0,51_66
9948,100.6408,948.4979_0.8433979_909.7896,Left,29.89471,0_2,65_61
9949,100.8008,757.6463_0.9621004_1029.935,Right,14.39914,2_0,66_51
9950,101.1208,936.619_0.688456_908.089,Left,23.827,0_4,65_51
9951,101.4408,758.6046_0.8433979_1024.012,Right,28.58569,0_2,66_51
9952,105.9209,933.6493_0.730626_907.6638,Left,18.88003,0_3,65_66
9953,106.8809,1128.12_0.8429536_1094.446,Left,32.42051,0_1,61_66
9954,108.001,759.5629_0.8433979_1018.089,Right,24.58299,0_2,66_61
9955,109.441,1128.12_0.8433979_1094.446,Left,10.33855,0_2,61_66
9956,109.601,1128.593_0.688456_1091.483,Left,18.98084,0_4,61_66
9957,110.561,760.5212_0.730626_1012.166,Right,13.62391,0_3,66_65
9958,112.001,1127.173_0.8429536_1100.371,Left,6.865878,0_1,61_51
9959,112.3211,886.6816_0.8433979_1174.519,Left,15.48647,0_2,51_65
9960,113.2811,760.5212_0.9621004_1012.166,Right,12.99529,2_0,66_65
9961,113.9211,758.6046_0.8651666_1024.012,Right,11.84034,0_0,66_51
9962,114.0811,933.6493_0.9621004_907.6638,Left,15.30225,2_0,65_66
9963,114.4011,1130.014_0.8651666_1082.596,Left,10.86596,0_0,61_65
9964,114.5611,759.5629_0.730626_1018.089,Right,16.91912,0_3,66_61
9965,118.2412,1128.593_0.730626_1091.483,Left,18.74511,0_3,61_66
9966,118.8812,1127.173_0.8433979_1100.371,Left,31.09689,0_2,61_51
9967,119.0412,948.4979_0.9621004_909.7896,Left,26.25652,2_0,65_61
9968,119.6812,933.6493_0.9621004_907.6638,Left,12.58518,2_0,65_66
9969,120.6412,759.5629_0.8433979_1018.089,Right,26.81007,0_2,66_61
9970,121.1213,948.4979_0.8433979_909.7896,Left,30.62928,0_2,65_61
9971,121.7613,1129.067_0.8429536_1088.521,Left,29.57321,0_1,61_66
9972,121.9213,760.5212_0.8429536_1012.166,Right,19.92915,0_1,66_65
9973,122.0813,892.6105_0.8651666_1175.439,Left,31.65631,0_0,51_61
9974,124.1613,760.042_0.9621004_1015.128,Right,26.37558,2_0,66_61
9975,124.8013,1127.173_0.8429536_1100.371,Left,13.88022,0_1,61_51
9976,124.8013,760.5212_0.9621004_1012.166,Right,9.592376,2_0,66_65
9977,124.8013,759.5629_0.8429536_1018.089,Right,22.90086,0_1,66_61
9978,125.1213,883.7171_0.730626_1174.058,Left,14.64406,0_3,51_65
9979,125.4414,1128.593_0.8651666_1091.483,Left,22.95817,0_0,61_66
9980,125.6014,757.6463_1.362484_1029.935,Right,8.636098,1_2,66_51
9981,125.9214,892.6105_0.8429536_1175.439,Left,13.13454,0_1,51_61
9982,126.5614,889.6461_0.8433979_1174.979,Left,20.80208,0_2,51_65
9983,126.7214,758.6046_0.9621004_1024.012,Right,8.486179,2_0,66_51
9984,127.5214,892.6105_1.710887_1175.439,Left,24.57827,1_1,51_61
9985,128.1614,948.4979_0.8429536_909.7896,Left,7.520443,0_1,65_61
9986,128.6414,1129.067_0.9621004_1088.521,Left,19.6127,2_0,61_66
9987,129.2814,933.6493_0.730626_907.6638,Left,32.40758,0_3,65_66
9988,129.6014,760.5212_0.730626_1012.166,Right,28.50182,0_3,66_65
9989,130.5615,936.619_0.8651666_908.089,Left,23.89736,0_0,65_51
9990,131.6815,1128.12_0.8651666_1094.446,Left,19.62875,0_0,61_66
9991,131.6815,942.5584_0.688456_908.9393,Left,23.19597,0_4,65_51
9992,131.6815,760.5212_0.9621004_1012.166,Right,23.15809,2_0,66_65
9993,132.1615,877.7881_1.362484_1173.138,Left,27.38193,1_2,51_66
9994,132.3215,889.6461_0.8429536_1174.979,Left,23.03729,0_1,51_65
9995,132.6415,883.7171_0.730626_1174.058,Left,31.96252,0_3,51_65
9996,133.6015,1129.54_0.9621004_1085.559,Left,27.07685,2_0,61_65
9997,134.4016,939.5887_0.688456_908.5142,Left,9.249265,0_4,65_51
9998,135.0416,760.042_0.9621004_1015.128,Right,21.82008,2_0,66_61
9999,135.2016,760.5212_0.8429536_1012.166,Right,33.21628,0_1,66_65
